name,competition,match_date,opponent,match_location,home_goals,away_goals,result,minutes_played,rating
Pierre Emerick Aubameyang,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,6.83
Pierre Emerick Aubameyang,EPL,17-08-2019,Burnley,Home,2,1,90,W,7.19
Pierre Emerick Aubameyang,EPL,24-08-2019,Liverpool,Away,3,1,90,L,6.21
Pierre Emerick Aubameyang,EPL,01-09-2019,Tottenham,Home,2,2,90,D,7.83
Alexandre Lacazette,EPL,17-08-2019,Burnley,Home,2,1,71,W,7.42
Alexandre Lacazette,EPL,24-08-2019,Liverpool,Away,3,1,9,L,6.05
Alexandre Lacazette,EPL,01-09-2019,Tottenham,Home,2,2,67,D,7.95
Lucas Torreira,EPL,17-08-2019,Burnley,Home,2,1,7,W,6.19
Lucas Torreira,EPL,24-08-2019,Liverpool,Away,3,1,29,L,7.63
Lucas Torreira,EPL,01-09-2019,Tottenham,Home,2,2,63,D,6.94
Granit Xhaka,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,6.95
Granit Xhaka,EPL,24-08-2019,Liverpool,Away,3,1,90,L,6.39
Granit Xhaka,EPL,01-09-2019,Tottenham,Home,2,2,90,D,6.62
David Luiz,EPL,17-08-2019,Burnley,Home,2,1,90,W,6.73
David Luiz,EPL,24-08-2019,Liverpool,Away,3,1,90,L,5.83
David Luiz,EPL,01-09-2019,Tottenham,Home,2,2,90,D,6.69
Sokratis,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,6.98
Sokratis,EPL,17-08-2019,Burnley,Home,2,1,90,W,7.33
Sokratis,EPL,24-08-2019,Liverpool,Away,3,1,90,L,6.75
Sokratis,EPL,01-09-2019,Tottenham,Home,2,2,90,D,6.22
Matteo Guendouzi,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,7.23
Matteo Guendouzi,EPL,17-08-2019,Burnley,Home,2,1,90,W,7.69
Matteo Guendouzi,EPL,24-08-2019,Liverpool,Away,3,1,86,L,6.89
Matteo Guendouzi,EPL,01-09-2019,Tottenham,Home,2,2,90,D,7.58
Ainsley Maitland Niles,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,8.4
Ainsley Maitland Niles,EPL,17-08-2019,Burnley,Home,2,1,90,W,7.07
Ainsley Maitland Niles,EPL,24-08-2019,Liverpool,Away,3,1,90,L,6.39
Ainsley Maitland Niles,EPL,01-09-2019,Tottenham,Home,2,2,90,D,7.0
Bernd Leno,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,7.53
Bernd Leno,EPL,17-08-2019,Burnley,Home,2,1,90,W,6.6
Bernd Leno,EPL,24-08-2019,Liverpool,Away,3,1,90,L,6.22
Bernd Leno,EPL,01-09-2019,Tottenham,Home,2,2,90,D,6.58
Nacho Monreal,EPL,11-08-2019,Newcastle United,Away,0,1,90,W,7.01
Nacho Monreal,EPL,17-08-2019,Burnley,Home,2,1,90,W,7.13
Nacho Monreal,EPL,24-08-2019,Liverpool,Away,3,1,90,L,5.77
Dani Ceballos,EPL,11-08-2019,Newcastle United,Away,0,1,26,W,6.21
Dani Ceballos,EPL,17-08-2019,Burnley,Home,2,1,83,W,8.2
Dani Ceballos,EPL,24-08-2019,Liverpool,Away,3,1,61,L,5.68
Dani Ceballos,EPL,01-09-2019,Tottenham,Home,2,2,27,D,6.98
Nicolas Pépé,EPL,11-08-2019,Newcastle United,Away,0,1,19,W,6.06
Nicolas Pépé,EPL,17-08-2019,Burnley,Home,2,1,45,W,7.53
Nicolas Pépé,EPL,24-08-2019,Liverpool,Away,3,1,90,L,7.37
Nicolas Pépé,EPL,01-09-2019,Tottenham,Home,2,2,90,D,8.07
